Temperature,Salinity,DO%,PH,Turbidity
13.16,33.06,82.9,7.88,3.3
13.18,33.13,83.5,7.89,4.4
13.13,33.25,84.2,7.9,4.6
13.1,33.34,84.81,7.91,5.8
13.05,33.45,85.6,7.92,3.5
12.92,33.67,88.5,7.95,7.6
12.86,33.74,88,7.96,8.8
12.8,33.8,88.81,7.97,7.5
12.79,33.84,91.2,7.98,6.5
12.86,33.72,93,7.97,8.7
12.6,32.79,84.6,7.9,4.3
12.58,32.87,84.9,7.91,4.4
12.56,33,85.1,7.92,4.5
12.5,33.29,85.2,7.94,5.8
12.49,33.54,86.7,7.96,4.6
12.51,34.03,91.5,8.01,2.4
12.13,33.58,94.81,8.03,6.9
12.03,33.89,98.81,8.09,16.2
11.98,33.54,95.1,8.04,9.9
11.88,33.24,90.7,7.99,8.5
11.69,32.65,87.7,7.97,0.2
12.18,32.68,88.9,7.92,5.9
12.16,32.74,89.5,7.94,6.1
12.11,32.92,90.2,7.96,5.1
12.07,33.16,90.1,7.98,4.5
11.88,33.43,91,8.02,5.3
11.73,33.04,90.2,8,3.9
11.62,32.49,87.81,7.96,0.9
12.18,32.06,84.2,7.84,0.2
12.16,32.11,84.6,7.85,1.3
12.08,32.33,82.5,7.87,4.1
11.96,32.59,83.81,7.9,4.8
11.93,32.72,83.9,7.91,5.1
11.94,32.82,84.5,7.93,4
12,33.24,86.6,7.98,2.6
12.4,33.28,96.7,8.04,2.8
12.29,33.09,94.31,8.02,2.5
11.85,33.05,82.2,7.97,1.9
11.9,31.94,89.9,8,7.9
20.48,33.01,79.31,7.77,14.9
21.53,32.49,76.4,7.66,15.5
21.48,32.55,77,7.68,12.5
21.42,32.65,76.2,7.69,14
21.36,32.77,76.6,7.71,15.1
22.29,32.57,76.5,7.69,10.4
21.28,33.99,82.1,7.91,19.5
21.34,33.92,81.6,7.89,19.1
21.58,33.64,81.4,7.86,14.9
21.74,33.51,80.1,7.84,13.6
24.59,29.74,88.6,7.68,14.1
24.55,29.76,88.2,7.68,16.6
24.52,29.75,87.4,7.67,10.9
24.52,29.76,90,7.7,13.3
24.51,29.74,92.9,7.74,12.4
24.49,29.77,94.7,7.77,12.9
24.47,29.8,95.3,7.79,10.6
24.46,29.78,95.9,7.8,9.9
24.37,29.78,94.9,7.79,9.3
24.32,29.78,94.5,7.78,11
24.35,29.72,93.7,7.77,11.4
24.33,29.74,92.4,7.75,12.2
24.32,29.65,88.9,7.71,11.9
24.28,29.6,85.9,7.65,13.1
24.24,29.54,84.2,7.62,18.1
24.3,29.64,89.7,7.7,17.2
24.36,29.77,93.2,7.75,15.3
24.42,29.79,94.9,7.78,19.1
24.41,29.75,93.8,7.77,27.7
24.38,29.73,91.6,7.73,23.6
24.36,29.71,89,7.71,26
24.35,29.72,90.2,7.72,24.2
24.37,29.66,90.7,7.72,28
24.36,29.65,92.1,7.72,28
24.38,29.67,94.4,7.74,26.1
24.43,29.71,98.8,7.78,24
24.45,29.7,100.1,7.79,20.2
24.37,29.6,94.3,7.73,19.9
24.36,29.6,96.4,7.74,18.1
24.42,29.67,100,7.79,15
24.41,29.68,101.2,7.81,20.2
24.28,29.72,99.5,7.81,20.5
24.31,29.69,97.2,7.77,23.8
24.32,29.69,97.9,7.78,18.1
24.36,29.71,100.5,7.79,23.2
24.29,29.68,85.6,7.65,20.1
24.26,29.66,85.3,7.65,20.4
24.24,29.72,85.8,7.66,19
24.3,29.73,92.7,7.71,20.3
24.3,29.71,92.8,7.72,16.9
24.3,29.73,95.4,7.73,16.7
24.27,29.73,88.7,7.69,15
24.26,29.75,88.4,7.7,12.9
