t1,t2,ph,
27.62,27.31,9.00,
27.62,27.31,8.99,
27.62,27.25,8.99,
27.62,27.25,8.98,
27.62,27.25,8.99,
27.62,27.25,8.98,
27.62,27.25,8.98,
27.62,27.25,8.98,
27.62,27.25,8.98,
27.62,27.25,8.98,
27.62,27.25,8.98,
27.62,27.25,8.98,
27.62,27.25,8.98,
27.62,27.25,8.98,
27.62,27.25,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.12,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.12,8.98,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.98,
27.62,27.12,8.98,
27.62,27.12,8.98,
27.62,27.12,8.98,
27.62,27.12,8.98,
27.62,27.12,8.98,
27.62,27.12,8.98,
27.62,27.12,8.98,
27.62,27.12,8.97,
27.62,27.12,8.98,
27.62,27.12,8.96,
27.62,27.12,8.98,
27.62,27.19,8.97,
27.62,27.19,8.97,
27.62,27.12,8.97,
27.62,27.12,8.98,
27.62,27.12,8.98,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.98,
27.62,27.12,8.98,
27.62,27.19,8.98,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.98,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.98,
27.62,27.12,8.97,
27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.98,
27.62,27.19,8.97,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.98,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.98,
27.62,27.12,8.97,
27.62,27.12,8.97,
27.62,27.12,8.98,
27.62,27.12,8.96,
27.62,27.12,8.96,
27.62,27.12,8.95,
27.62,27.19,8.97,
27.62,27.19,8.97,
27.62,27.19,8.98,
27.62,27.19,8.98,
27.62,27.19,8.97,
27.62,27.19,8.97,
27.62,27.19,8.96,
27.62,27.19,8.97,
27.62,27.19,8.97,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.95,
27.62,27.12,8.96,
27.62,27.19,8.96,
27.62,27.12,8.96,
27.62,27.12,8.96,
27.62,27.12,8.96,
27.62,27.12,8.96,
27.62,27.12,8.96,
27.62,27.12,8.96,
27.62,27.12,8.96,
27.62,27.12,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.62,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.62,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.62,27.19,8.95,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.95,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.97,
27.56,27.19,8.96,
27.56,27.19,8.96,
27.56,27.19,8.97,
27.56,27.19,8.97,
27.56,27.25,8.97,
27.56,27.19,8.97,
